Processing Magnoliophyta/occurrence_raw.csv...		
fru		
fru		
fru		
	Flowers purple. Abundant perennial from bulb.	
	Leaves dark green above, silvery white beneath; shrubs.	
	Flowers white.	
	Purple- pink petals.	
	Plant to 1.3 m tall; flower white.	
	Shrub 2 m tall, corolla pink.	
	Immature flowers, Associates: Prunus caroliniana, Acer rubrum	
	Flowers white, fragrant, tree ca 5 m.	
	Plants annual, 5 ft. tall, corolla yellow	
	Common; petals light purple- pink.	
	Flower yellow.	
	Locally abundant woody vine, corollas blue.	
	Colonial shrub, 6- 8 ft tall, or occasionally to 15 ft; flowers rose- pink.	
	Trees to 12 ft and 3 inches in diameter. Flowers light-pink. Uncommon.	
	Loment joints 1 to 3; stems mostly trailling; corolla yellow, cream and marked with violet purple.	
	The number of leaves was 5-7.	
	Fruit lemon yellow. Very much bushy branched.	
	Shrub 3- 4 ft tall; young flowers yellow, older flowers shades of pink to reddish orange.	
	Corolla blue, locally abundant open chalk.	
	Plants to 6 ft tall; corolla white	
	Corolla pale violet with white throat	
	Corolla light blue	
	Petals white.	
	Flowers white; roots tuberous.	
fl. & fr.		
	Det by: W H Duncan, corolla deep blue	
	White flowers.	
	White corolla	
	Fruit 2 cm in diameter.	
	Flowers white.	
	Elev 980 ft. Corolla light purple.	
	0.5 m; leaves pale to green, corolla lavender, locally occasional.	
	Local colony, rays & disk yellow.	
	Flower yellow.	
	common.; corolla white	
	| tree about 15' tall, bark medium to light grayish brown, moderately checkered with occasional fragments loosened & flaking, pith of older stems white	
	herb, corolla red	
	common weed on roadsides, blue flowers	
Flower	Denver Botanic Gardens Chatfield Floristic Inventory	Shrub 2m, white flowers and buds
		Shrub, 3 m tall, white flowers
Fruit		
Flower	Infrequent.; Corolla pink.	
Flower	Corolla pink.	
Fruit		
Flower and fruit	Locally abundant.; Long awned spike, on clumpgrass.	
Fruit	Denver Botanic Gardens Chatfield Floristic Inventory	
Flower	Denver Botanic Gardens Chatfield Floristic Inventory	
Flower and fruit	Denver Botanic Gardens Chatfield Floristic Inventory	
Flower and fruit	Denver Botanic Gardens Chatfield Floristic Inventory	
flowers		
flowers	Arbusto de ca. 17m, muito ramificado. Folhas cartaceas, discolores, com face adaxial verde-escura e abaxial argentea. Flores com sepalas verde-amarronzadas, petalas e estames brancos. Pouco frequente. N.V.: 'acara-mirim'	Arbusto de ca. 17m, muito ramificado. Folhas cartaceas, discolores, com face adaxial verde-escura e abaxial argentea. Flores com sepalas verde-amarronzadas, petalas e estames brancos. Pouco frequente. N.V.: 'acara-mirim'
flowers	Arbol 7m; inflorescencias terminales blancas verdosas.	Arbol 7m; inflorescencias terminales blancas verdosas.
	Arbusto de 3 m con flores amarillas.	
	Herb, corolla brownish, infrequent.	
	Flower - yellow disk and rays, 8 rays, disk head 1.5-2.5cm diameter, entire head 4.5-6cm diameter. Achene - 3-4 barbed spurs. Population - dominant Asteraceae to the west, blooming, few with spent flowers. Growing with Typha latifolia, Rumex, Persicaria s	
	Flower - arranged on cylindrical apex spikes, irregular, purple, sepals pubescent.Population - 1 individual per 1m2, not abundant, associated with Lindera benzoin and Asteraceae.	
	Inflorescence - globular, awned scales, 3-8 per head.Fruit - triangular, green achenes, smooth achenes with brown beak.Population - widespread, common. Associated with Eleocharis, Schoenoplectus, and Rhynchospora alba.	
Flower		
Flower	acc# 760326	
Flower		
Flower	ss. occidentalis. Locally abundant.; Long Rhizomatous.	
Flower	CULTIVATED phenology: flowering DBG acc# 071029*1; North American Plant Collection Consortium (NAPCC) Alpines of the World collection.	
	Scattered.; Nodding inflorescence.	
Flower	Lower part of stem red; plant with miky juice; occasional.	
flowers	Perennial, yellow flowers	Perennial, yellow flowers
flowers	Coor from www.fallingrain.com/world; 'Guayabillo' Arborescent shrub, 1 inch diam., 15ft high; petals white.	'Guayabillo' Arborescent shrub, 1 inch diam., 15ft high; petals white.
flowers	Arbol de 8m; flores blancas.	Arbol de 8m; flores blancas.
	ASU001157; Shrub 0.5 m tall flower red.	Shrub 0.5 m tall flower red.
	Shrub, simple flower vermelha. Closed.	Shrub, simple flower vermelha. Closed.
	Arvore ca. 3.5 m. Folhas coriaceas, discolores afce adaxial mais escura que abaxial. Flores com calice verde e corola creme. Gineceu branco. Estames com filetes cremes e anteras marrom.	
fruit	Arbol de 12m Corteza fisurada, verde amarilla. Frutos de amarillos a negros al madurar. 'Escobilla'.	Arbol de 12m Corteza fisurada, verde amarilla. Frutos de amarillos a negros al madurar. 'Escobilla'.
flowers	Locally common	Locally common
	Perennial composite with yellow flowers	Perennial composite with yellow flowers
	Arbol 6 m, flores axilares cremosas.	
	Arbusto armado de 2 a 4 m, flores amarillas.	Arbusto armado de 2 a 4 m, flores amarillas.
	Arbusto ca. 1.5 m alt., com flores brancas, borda de transicao cerrado. Mata mesoila semidecidua.	Arbusto ca. 1.5 m alt., com flores brancas, borda de transicao cerrado. Mata mesoila semidecidua.
	Shrub ca. 1.5 m tall. Heads dar red-violet.Fruit green.	Shrub ca. 1.5 m tall. Heads dar red-violet.Fruit green.
	Arbusto 2 m alt.; flores amarilas.	Arbusto 2 m alt.; flores amarilas.
	Planta herbacea de 80 cm de alto, flores blanquecinas, abundante.	Planta herbacea de 80 cm de alto, flores blanquecinas, abundante.
fruit	Haut: 2.00m; arbuste. Fruits pendants, obovoides, charnus, rouge clair, devenant noiratre a maturite.	Haut: 2.00m; arbuste. Fruits pendants, obovoides, charnus, rouge clair, devenant noiratre a maturite.
	Herbaceous perennial, erect leaves overtop infloresence, pubescence spreading to erect.	
Flower		
	Arbolito 4m, flores blancas.	Arbolito 4m, flores blancas.
flrs		
	Granjono blanca. Vine 2.5 M. Fls. White.	Granjono blanca. Vine 2.5 M. Fls. White.
fruit	Arbre, fruits spheriques verts. Haut: 35m.	Arbre, fruits spheriques verts. Haut: 35m.
fruit	coor from www.fallingrain.com/world; Arbusto de 2.5m de alto; frutos amarillos.	Arbusto de 2.5m de alto; frutos amarillos.
	N29 54 700m E6 55 500m; Common annual on sandy flats, rays yellow.	Common annual on sandy flats, rays yellow.
flowers	Coor from www.fallingrain.com/world; Arbolito 8m; flores blancas.	Arbolito 8m; flores blancas.
flowers	Coor from www.fallingrain.com/world; Arvore, flores alvas.	Arvore, flores alvas.
fruit	Shrub 2m; fruits green	Shrub 2m; fruits green
flowers		
	flowers bright red	flowers bright red
fruit	Arbol de 8m. Corteza lisa, pardo verdosa. Frutos negros. 'Escobilla'.	Arbol de 8m. Corteza lisa, pardo verdosa. Frutos negros. 'Escobilla'.
	n=11; Flowers staminate, pistils abort, seedless. Buds collected by Lyle McGill, 3 PM, 2 Jul 1970.	
	stems orange, flowers white  except anthers	stems orange, flowers white  except anthers
	1484; Perennial   herb  to  4 dm.  mostly producing   cleistogamous   flowers with   one   chasmogamous   flower with pink   corolla   frequent.	Perennial   herb  to  4 dm.  mostly producing   cleistogamous   flowers with   one   chasmogamous   flower with pink   corolla   frequent.
	Treated in 1967 with lauryl pentachlorphenate!; Shrub, about 30 ft. high, 4 in. diam., fruit blue-violet.	Shrub, about 30 ft. high, 4 in. diam., fruit blue-violet.
	Subshrub ca. 1m high. Rays yellow, Disk dark brown.	Subshrub ca. 1m high. Rays yellow, Disk dark brown.
Flowers and Fruits	Herbarium of the University of California, Riverside;  PLANTS OF MEXICO; Tree 8 m, bark peeling in longitudinal strips. Flowers white.	Tree 8 m, bark peeling in longitudinal strips. Flowers white.
Fruits	PLANTAS DE MÉXICO: OAXACA Herbario Nacional de México <MEXL» Instituto de Biología, UNAM; Arbusto, 2m, abimdamte, fr. inmaduro	Arbusto, 2m, abimdamte, fr. inmaduro
	Arbol 16 m, flores blancas, botones florales blancos.	
	herbacea hasta de 1.5 m de altol flores azules	herbacea hasta de 1.5 m de altol flores azules
	Epífita. Flores alvescente.	Epífita. Flores alvescente.
	Inflorescencia semipendula, flores blancas.	Inflorescencia semipendula, flores blancas.
	Suberecto. Tallos rojizos; flores blancas.	Suberecto. Tallos rojizos; flores blancas.
flower		
	98 47 000m N, 9 47 000 E; Roadside monopodial shrub to 2 m tall, flowers pink.	Roadside monopodial shrub to 2 m tall, flowers pink
flowers	Coor from www.fallingrain.com/world; Arvore ca. 4m alto; flores brancas.	Arvore ca. 4m alto; flores brancas.
Flower and fruit	Plant forming patches; only place seen; ray achenes epappose	
flowers	Shrub, 1m, flowerbuds rose. Old flowers pale brown.	Shrub, 1m, flowerbuds rose. Old flowers pale brown.
	Heliophyte; Tree 1m tall; corollas and stigmas whitish, axils of inflorescence colored	Heliophyte; Tree 1m tall; corollas and stigmas whitish, axils of inflorescence colored
Flowering & Fruiting	'Wild Rye'	'Wild Rye'
	Arbusto de 1.60 m de alto; flores moradas y fruto negro; crece en lugares despejados; abunda.	Arbusto de 1.60 m de alto; flores moradas y fruto negro; crece en lugares despejados; abunda.
	Planta hasta de 1 m de alto; flores rosadas; orilla de una zanja.	Planta hasta de 1 m de alto; flores rosadas; orilla de una zanja.
	Tree 5 m tall. Leaves with pale tan-golden pubescence beneath. Corolla white in bud.	
flowers	Locally abundant, common name: Monkey Flower.	Locally abundant
Flower		
Flower	Linaria vulgare not recognized by Portal.	
	Common roadside herbaceous perennial, rays yellow, herbage dark green.	Common roadside herbaceous perennial, rays yellow, herbage dark green.
	Lundell Herbarium; Tree, 35 ft. high, 8 in. diam., fruit green.	Tree, 35 ft. high, 8 in. diam., fruit green.
Flower		
flower		
sterile	Sterile	Sterile
	Fls. cream-color.	
	Uncommon woody vine in disturbed tropical deciduous forest on rocky slope; flowers yellow.	Uncommon woody vine in disturbed tropical deciduous forest on rocky slope; flowers yellow.
fruit	Arbolito 3m; frutos verdes. Saka.	Arbolito 3m; frutos verdes. Saka.
Flower		
	Annual; leaves purple dorsally; corolla blue-purple to pink, center green surrounded by white.	Annual; leaves purple dorsally; corolla blue-purple to nink. center green surrounded by white.;   ;
	Subshrub 60 cm. Corolla white.	
	Tree 6 m. Flower white.	
	Tree 5 m tall. White flowers.	
Flower		
	Shrub 2.5 m high; calyx and corolla red	Shrub 2.5 m high; calyx and corolla red
	PAPAZ; 25cm somewhat common perennial, bipinnate leaves, cream ball-shaped flowers	
flrs		
Flowers	PLANTAS DE  MÉXICO:  OAXACA  PROYECTO FLORA DE OAXACA HERBARIO NACIONAL (MEXU) BAJO   EL   PATROCINIO    DEL   PROGRAMA   CONACYT; Árbol de 6 a 8 m con verticilos.  Poco frecuente	Árbol de 6 a 8 m con verticilos.  Poco frecuente
	Hierba perenne de flores blancas.	
flrs		
flowers	Coor from www.fallingrain.com/world; Arbusto 1.50m, flor alva.	Arbusto 1.50m, flor alva.
flrs	Locally common perennial herb on flats.	Locally common perennial herb on flats
flowers	Arbusto de ate 50 cm; flores passadas, calice esverdeado.	Arbusto de ate 50cm; flores passadas, calice esverdeado.
	Flowers maroon with a white center.	Flowers maroon with a white center.
fruit	Coor from www.fallingrain.com/world; Arbol, 3m. Fruto verde.	Arbol, 3m. Fruto verde.
	Glutinous subshrub. Flowers yellow. Occasional.	Glutinous subshrub. Flowers yellow. Occasional.
	Erect herb, corollas orange, locally frequent.	Erect herb, corollas orange, locally frequent.
	Common vine, fls. white.	Common vine, fls. white.
	Tree 10 m tall. Flowers white.	
flrs	Occasional tree, growing at margin of beach near camps; flowers and fruits white.	Occasional tree, growing at margin of beach near camps; flowers and fruits white.
	Flowers white.	Flowers white.
	N29 36 620m E6 70 400m; Common prostrate annual in protected sandy enclosure; flowers yellow.	Common prostrate annual in protected sandy enclosure; flowers yellow.
	Flowers yellow.	Flowers yellow.
	Blooms May-July, 1978. Macom and Giren fls. Grows in clumps with moss. Epiphytic, ca. 2 in.	Blooms May-July, 1978. Macom and Giren fls. Grows in clumps with moss. Epiphytic, ca. 2 in.
fruit	Arbustos hasta 3m; fruto rojo intenso de 5mm de diametro.	Arbustos hasta 3m; fruto rojo intenso de 5mm de diametro.
Flower		
Flower		
	ASU0001153; Shrub to 6 dm corolla scarlet  infrequent.	Shrub to 6 dm corolla scarlet  infrequent.
	Flowers blue-violet, or keel white.	Flowers blue-violet, or keel white.
	Shrub ca. 2 m high. Flowers yellow.	Shrub ca. 2 m high. Flowers yellow.
Flowers	Arbusto de 3-5 m alto; fls. balncas. Creciendo en una ladera humeda.	Arbusto de 3-5 m alto; fls. balncas. Creciendo en una ladera humeda.
Flower		
flowers	Annual herb; leaves gray, tinged purple flowers pale yellow	Annual herb; leaves gray, tinged purple flowers pale yellow
Flowers and Fruits	low shrub about 1 ft# tall flowers white*	low shrub about 1 ft# tall flowers white*
Flower		
flowers and fruits	Arbusto 1.50-2.50m alto; petalos blancos; frutos maduros amarillo palido.	Arbusto 1.50-2.50m alto; petalos blancos; frutos maduros amarillo palido.
fruit	Tree 10m tall; in inundated ground along lake shore. Fruits pale green, globose.	Tree 10m tall; in inundated ground along lake shore. Fruits pale green, globose.
Flower		
fruit	Arbusto 4m; fruto naranja.	Arbusto 4m; fruto naranja.
	Flowers yellow and red-orange.	Flowers yellow and red-orange.
fruit	Arbusto, 4m de alto. Frutos verdes. 'Guayabilla'	Arbusto, 4m de alto. Frutos verdes. 'Guayabilla'
fruit	Arvore de 8m de altura;  fruto jovem verde.	Arvore de 8m de altura;  fruto jovem verde.
fruit	Tree 4 m. Fruit immature green.	Tree 4m, fruits immature green.
	Bloomed in greenhouse March 1976; flowers yellow.	
Flower		
	Corollas light blue with white centers.	Corollas light blue with white centers.
	Perennial herb ca 0.5 m tall, flowers white.	Perennial herb ca 0.5 m tall, flowers white.
	PAPAZ; occasional annual forb; flowers yellow, 5 rays; stems and leaves glabrous	
flowers	Arbolito 3m alto; flores blancas.	Arbolito 3m alto; flores blancas.
	Creeping herbacea; Yellow flower, green fruit. Scarce.	Creeping herbacea; Yellow flower, green fruit. Scarce.
flowers	Arbusto; flor branca.	Arbusto; flor branca.
	Vine; fruiting only; common.	Vine; fruiting only; common.
flowers		
fruits	Arbusto ca. 3.0m alto; frutos rosados.	Arbusto ca. 3.0m alto; frutos rosados.
Fruit	Pods strictly erect; occasional under oaks.	
flower and fruit		
flower	Det. H.D. Harrington,	
Flower	acc# 981360	
flower and fruit	, Condition: fair; Petals white	
Flower	UCD donation - UCD # missing , Donor: Herbarium, University of Colorado, Denver Center	
fruit	SW exposure of rock ridge,	
flower		
Flower		
Flower and Fruit		
Flower and fruit	Scattered.	
flower	, Donor: Herbarium, Museum; Bluish flowers	
Flower	acc# 800635	
flower		
Flower and fruit	, Condition: fair	
Flower	acc# 100967; Plant Select® Program; Spectacular late spring bllooms with multi-toned purple-pink double blossoms repeat moderately through the summer. Intensely fragrant and vigorous. Annual pruning encourages a more compact habit.	
Flower		
Flower		
Flower	'Oxblood', acc# 971491	
Flower		
Flower		
flower and fruit	Georeferenced Specimen 1 ONLY.	
flower	common, Condition: good; Poison Hemlock	
Flower	Plants rhizomatous; forming carpets in wet ground at edge of tricking water.	
Flower and fruit	Eagle Rock Ranch Floristic Inventory Funded by the Chalk Bluffs Foundation; Common Name: Ant pennies, small lupine	
Flower	Weed	
flower		
Flower	2009 Floristic Survey of Windy Point & vicinity; Flowers pink; common.	
Flower	Soapstone Prairie Floristic Inventory	
Flower	Doner: Jack L. Carter Herbarium, Colorado College, Colorado Springs, CO	
flower	Soapstone Prairie Floristic Inventory	
Flower		
Flower	Donor: Herbarium, University of Colorado, Denver Center	
flower	2009 Floristic Survey of Windy Point & vicinity.; Common.	
flower	Seep along trail on steep slope above creek, shaded by dense Picea engelmannii forest and bordered by willow spp.; with Carex microptera, Epilobium sp.; in wet moss; flowers white; locally common.,	
Flower		
Flower	Walker's Low', acc# 981516	
Flower		
vegetative		
Flower	Spring, hanging garden.,; Erect, single-stem perennial, under 1 ft in height and bearing a terminal raceme of white urn-shaped flowers.	
Flower and Fruit		
flower and fruit	Donor: Herbarium, University of Colorado, Denver Center	
flowering + fruting=mid		
flowering=early		
flowering=early		
flowering + fruting=mid		
flowering=early		
flowering + fruting=mid		
flower		
Flower and fruit	Voucher for Denver Botanic Gardens project - assessment of Phacelia formosula genetic diversity.; Frequent.	
	Plants of Jefferson County Open Space.; Phyllaries erect, acuminate; flowers few (e.g., 5), pappus plumose bristles.	
flowering=early		
flowering=early		
flowering=early		
Flower		
flower and fruit		
flower	Fresh Look Orange'	
flower		
Flower	Occasional. Three veins in firest glume.	
	Flowers white.	
	Bulb loosely-coated, gray; perianth white.	
flower		
Flower		
Flower and fruit	Yellow flowers.	
Flower	Soapstone Prairie Floristic Inventory	
Flower	Eagle Rock Ranch Floristic Inventory Funded by the Chalk Bluffs Foundation	
Flower	Exchange: University of Colorado Herbarium (COLO)	
Flower		
Flower	Audubon Society Herbarium Collection; non-native	
flower		
flower		
Fruit		
Flower	Flowers Pinkish	
fruit		
Flower	Cotton Candy', acc# 23184	
Flower	Flowers tiny, blue and white; inconspicuous, annual herb.	
Flower		
flower		
Fruit		
Flower	Donor: Herbarium, University of Colorado, Denver Center	
Flower and fruit	scattered stands throughtout fen.	
Flower	Flowers lavender	
Flower	acc# 1090	
Flower	Flowers blue	
Flower and fruit		
Flower and fruit	A few bushes at bottom of an arroyo	
Flower		
flower	Condition: good	
flower	an ascending to erect perennial herb; flowers yellow	
flowers	Arbol 6m alto; flores blancas.	Arbol 6m alto; flores blancas.
	Corolla red.	
flowers	Annual; white flowers with yellow centers	Annual; white flowers with yellow centers
flowers	Scarce to locally common; desert shrub	Scarce to locally common; desert shrub
flowers		
fl		
flowers	Perennial herb; flowers yellow	Perennial herb; flowers yellow
fl,fr	flower golden-yellow	flower golden-yellow
flowers & fruit	Photo; Locally abundant sprawling rhizomatous perennial to 8dm tall, 2m broad; leaves yellow-green; flowers fragrant, pale-lavender	Locally abundant sprawling rhizomatous perennial to 8dm tall, 2m broad; leaves yellow-green; flowers fragrant, pale-lavender
Fruiting	Uncommon.	
Flowering	Common.	
Flowering & Fruiting		
Flowering		
	Cultivated in rows. Many bee and butterfly pollinators. Full sun.; Herb, ca. 1 In tall. Compound umbels with white flowers. Fruit with prickly wings.	
flowers	Common herbaceous rhizomatous perennial; rays blue-lavender	Common herbaceous rhizomatous perennial; rays blue-lavender
flowering	GIFT TO NCU 2002 JESUP HERBARIUM DARTMOUTH COLLEGE	
	over Romney dark gray shales	
fruiting	"Collected for the ""Flora of the Carolinas"""	
sterile	"Collected for the ""Flora of the Carolinas"""	
flowering, fruiting		
Fruit		
Fruit		
Flower	Chinquapin tree-shape, one truck, rounded crown, about 10 ft. tall	
Flower	About 6 ft tall, color yellowish-white, smell bad	
Flower	Kodachrome	
Fruit		
Fruit	"Collected for the ""Flora of the Carolinas""; Height 3 ft."	
Flower and fruit		
Fruit		
Flower	"Collected for the ""Flora of the Carolinas"""	
Fruit	Specimen inventoried for Arkansas Natural Heritage Commission, Little Rock, AR: Robert Coffin and Carol Ann McCormick, 2012 NCU	
Flower		
Flower		
Flower		
Flower	Inflorescenes white, drooping; tree 9 m tall.	
Flower		
Fruit		
Fruit		
Flower	MEXICAN GULF COAST FLORA A. B. SEYMOUR AND F. S. EARLE CITATION No. 29a	
Flower		
fruiting	Plants of the Southeastern United States	
fruiting	Plants of the Southeastern United States	
Flower		
Fruit	"Collected for the ""Flora of the Carolinas"""	
fruiting	Flora of the College Woods College of William and Mary Williamsburg, Virginia	
flowering	Corolla blue.	
flowering		
	Flowers pale blue	
	Flowers pale blue to almost white.	
flower	In trickling stream of steep gulley, in relatively open forest of Pseudotsuga menziesii - Quercus gambellii with associates Symphoricarpus rotundifolia, Mimulus guttatus, Glyceria striata, Geranium lentum; flowers violet; common.	
flower	Ponds on wetland flats bordered by Pinus ponderosa forest interspersed with Populus tremuloides, Quercus gambellii, Pseudotsuga menziesii; associates in wet zone at pond edge include Equisetum arvense, Hippuris vulgaris, Lycopus americanus, Carex athrostachya, Juncus bufonius, Mentha arvense, Arnica chamissonis ssp. foliosa; lax stems forming small clumps in mud; flowers 3-petalled, miniscule, white; relatively common.	
Flower and fruit	Denver Botanic Gardens Chatfield Floristic Inventory	
flower and fruit	In barren clay on N facing slope near hogback ridge summit; common associates include Picradenia richardsonis, Chaetopappa ericoides, Xanthisma spinulosum, Astragalus humistratus, Aristida purpurea, Hesperostipa comata, Chondrosum gracile, Artemisia frigida, Penstemon ophianthus, Nuttallia rusbyi; shrubby-based mounding plant to 2 ft. high; flowers yellow; restricted to small area.	
Fruit		small common shrub with fruit, thorns
	Woody, simple opposite leaves with drupe fruits	
flowering	GIFT TO NCU 2002 JESUP HERBARIUM DARTMOUTH COLLEGE	
	Vine on shrubs; flowers pinkish with stripes	
	"Plants of Cultivation; ""Cress"" Flowers white, stem glaucous; native to w. Asia; entire-leaved cultivar. Seeds from Nichols Inc."	
Vegetative		
fl,fr	shrub about one and a half meters high	shrub about one and a half meters high
Flowering & Fruiting	More common higher on sand slopes. Thousands of plants.	
flowers	Plant size 30 cm; perennial; flowers are white; plant woody	Annual herb; purple flowers
flowers		
	Flowers white. Occasional on shaded slope.	
flowers & fruit		
	Cultivated in flower bed, Mariposa Hall.	
	thick reddish colored leaves 2-ranked	
	Perennial herb, ca. 1.3 m. tall, Whitish flowers with greenish-purple bracts, leaves green	
flower		
Flowering	Petals 5-lobed, red orange. Common locally.	
Flowering & Fruiting	Uncommon	
	Heads glandular, rays yellow	
	Selection of Natal plum. Very dense compact shrub, forked spines, flowers white.	
Flowering		
	Perennial herb, 65-105 cm tall, pale pink/violet flowers, occasional	Perennial herb, 65-105 cm tall, pale pink/violet flowers, occasional
